index,country_code,country_long,name_of_powerplant,latitude,longitude,primary_fuel,start date,owner of plant,capacity_in_MW,estimated_generation_gwh_2021
10118,FIN,Finland,Hanhikoski,63.3667,23.4833,Hydro,,Vattenfall Sähköntuotanto oy,1.5,7.07
10119,FIN,Finland,Harjavalta,61.3167,22.1333,Oil,,Suomen Teollisuuden Energiapalvelut - STEP Oy,6.3,35.40380761988179
10120,FIN,Finland,Harjavalta,61.3167,22.1333,Hydro,,LÃ¤nsi-Suomen Voima Oy,72.0,308.37
10121,FIN,Finland,Heinola,61.2167,26.0333,Biomass,,Lahti Energia Oy,3.5,25.297953895619628
10122,FIN,Finland,Heinola vp,61.2167,26.0333,Biomass,,Stora Enso Oyj Heinolan Flutingtehdas,19.0,81.24107272635662
10123,FIN,Finland,Hietamankoski,65.7667,24.4,Hydro,,Vattenfall Sähköntuotanto oy,6.7,36.8475010090621
10124,FIN,Finland,Hilmonkoski,63.0167,25.4167,Hydro,,Vattenfall Sähköntuotanto oy,6.8,21.63
10125,FIN,Finland,Hinkua,63.75,25.3333,Hydro,,Vattenfall Sähköntuotanto oy,6.3,23.35
10126,FIN,Finland,Hirvikoski,63.6167,29.1167,Hydro,,Vattenfall Sähköntuotanto oy,8.5,34.74
10127,FIN,Finland,Huikku Hailuoto,65.009,24.7139,Wind,,Huikku Tuulivoima Oy,2.0,19.884103686193463
10128,FIN,Finland,Huittinen  Pahkionvuori tv,61.1833,22.7,Wind,,LÃ¤nnen Lintu Oy,3.6,25.658877242914706
10129,FIN,Finland,Huutokoski kt,62.9,29.4,Oil,,Fingrid Oyj,180.0,662.3276618714312
10130,FIN,Finland,Ii  Kuivaniemi tv,62.2333,25.7333,Wind,,Vapo Oy,7.0,37.93027105094734
10131,FIN,Finland,Ikaalinen,61.7695,23.0658,Gas,,LeppÃ¤kosken SÃ¤hkÃ¶ Oy,6.0,34.32103757799656
10132,FIN,Finland,Imatra,61.1669,28.7745,Hydro,,Fortum Power & Heat OY,192.0,927.86
10133,FIN,Finland,Inkeroinen ve,60.7,26.85,Hydro,,Kemijoki Oy,17.0,86.4
10134,FIN,Finland,Isohaara,67.5167,24.7833,Hydro,,PVO Vesivoima Oy,106.0,414.88
10135,FIN,Finland,Jalasjoki/Niiles,61.3403,21.5375,Hydro,,Koskienergia Koskivoima Oy,1.0,16.27487021324269
10136,FIN,Finland,Joensuu,64.6667,27.1333,Gas,,Fortum Power and Heat Oy,68.0,258.0935129009446
10137,FIN,Finland,Joensuu,64.6667,27.1333,Biomass,,UPM-Kymmene Oyj,2.8,22.771490464554084
10138,FIN,Finland,Joutseno,61.118,28.5076,Biomass,,MetsÃ¤ Fibre Oy,85.0,319.45048194110774
10139,FIN,Finland,Juankoski,62.8924,27.677,Hydro,,Savon Voima Oyj,5.5,31.24
10140,FIN,Finland,Jumisko,66.3333,28.15,Hydro,,PVO Vesivoima Oy,26.0,116.74
10141,FIN,Finland,Juntola,62.95,25.2,Hydro,,Koskienergia Koskivoima Oy,1.8,8.11
10142,FIN,Finland,Juotas,63.5,22.5333,Hydro,,Keski-Lapin voima Oy,3.7,18.14
10143,FIN,Finland,Juva,61.9,27.85,Hydro,,Koskienergia Koskivoima Oy,1.4,6.69
10144,FIN,Finland,Kaaranneskoski,66.3833,23.7,Hydro,,Tornionlaakson Voima Oy-,2.8,14.13
10145,FIN,Finland,Kaarni,61.0,28.5167,Hydro,,Rovakairan Tuotanto Oy,1.2,3.54
